company,domain,outcome,reason
Hardywood Park Craft Brewery,hardywood.com,contacted,
Belle Isle Moonshine,belleislecraftspirits.com,contacted,
Ledbury,ledbury.com,contacted,
Duke's Mayonnaise / Sauer Brands,dukesmayo.com,contacted,emails resolve to sauerbrands.com
Hamilton Beach Brands,hamiltonbeach.com,contacted,in-house creative; pitched as overflow
Crutchfield,crutchfield.com,contacted,runs its own photo/video studio
Blanchard's Coffee,blanchardscoffee.com,contacted,
MightyMeals,eatmightymeals.com,contacted,
Bold Rock Hard Cider,boldrock.com,unreachable,no marketing contact indexed in Clay
Shockoe Atelier,shockoeatelier.com,unreachable,email never resolved; 4 employees
Seed Health,seed.com,contacted,
Jones Road Beauty,jonesroadbeauty.com,contacted,primary on leave to 12/2026; redirect contacted
Caraway Home,carawayhome.com,contacted,in-house creative; overflow pitch
Momentous,livemomentous.com,contacted,
Ritual,ritual.com,contacted,in-house art directors; overflow pitch
Graza,graza.co,contacted,
Fly By Jing,flybyjing.com,contacted,OOO to Aug 17; follow-up queued in Drafts
Jolie,jolieskinco.com,unreachable,only a catch-all address found; needs LinkedIn
Wildgrain,wildgrain.com,contacted,
Bobbie,hibobbie.com,contacted,in-house creative; overflow pitch
Ollie,myollie.com,contacted,in-house creative; overflow pitch
Vacation Inc,vacation.inc,contacted,OOO to Aug 24; marketing-ops redirect contacted
Topicals,mytopicals.com,contacted,in-house creative; overflow pitch
OSEA Malibu,oseamalibu.com,contacted,
Cozy Earth,cozyearth.com,contacted,
HexClad,hexclad.com,contacted,
TRUFF,truff.com,contacted,
Lalo,meetlalo.com,contacted,
Arrae,arrae.com,contacted,
Ghia,drinkghia.com,contacted,
Bearaby,bearaby.com,contacted,
Olipop,drinkolipop.com,excluded,no marketing staff indexed in Clay
Chomps,chomps.com,excluded,no marketing staff indexed in Clay
Magic Spoon,magicspoon.com,excluded,no marketing staff indexed in Clay
Cometeer,cometeer.com,excluded,employs an in-house performance video editor
Fellow,fellowproducts.com,excluded,only senior brand lead is on contract
Spindrift,spindriftfresh.com,excluded,Clay domain resolves to an unrelated company
Our Place,fromourplace.com,excluded,no senior contact surfaced
Brightland,brightland.co,contacted,in-house creative director; overflow pitch
Nécessaire,necessaire.com,contacted,in-house exec creative director; overflow pitch
Moon Juice,moonjuice.com,contacted,
cocokind,cocokind.com,contacted,brand marketing lead targeted per not-the-CMO rule
